id,state_nm,country,Meal,Meal2,McMeal,Domestic_Beer,Imported_Beer,Cappuccino,Coke,Water,Milk,Bread,Rice,Eggs,Cheese
335,32,So,12.41,67.06,8.53,5.36,6.44,3.36,2.48,1.8,1.07,1.84,2.04,3.34,8.39
336,33,Th,4.69,36.1,4.33,2.53,3.97,2.79,1.11,0.85,1.3,1.62,6.03,1.49,7.87
337,31,In,4.2,25.02,6.44,5,4.2,0.9,0.33,0.21,1.3,0.73,1.69,1.96,5.22
338,32,Ch,5.12,18.63,5.22,1.49,2.8,1.44,0.89,0.56,0.8,1.4,1.12,1.91,8.45
339,31,In,5.71,25.94,5.45,1.56,2.59,2.33,0.89,0.54,1.15,1.62,1.26,1.73,5.1
340,34,Ch,3.06,16.3,5.1,1.02,1.53,0.98,0.53,0.4,0.7,0.77,0.76,1.45,3.28
341,30,Ja,10.62,37.17,6.37,1.86,2.65,1.89,1.22,0.83,1.54,1.02,1.88,2.55,9.42
342,32,Ni,3.06,7.35,3.06,2.02,3.67,1.99,0.44,0.16,0.71,0.41,0.51,0.88,4.08
343,32,Pa,5.59,40.51,5.59,1.12,4.19,3.49,0.52,0.32,2.68,2.57,1.18,2.17,18.01
344,31,Ba,7.32,29.28,4.1,1.17,2.34,1.76,1.07,0.69,0.91,0.76,1.02,0.81,3.78
345,31,Br,7.91,40.94,6.22,4.09,3.28,2.35,1.21,0.87,1.21,0.79,1.97,1.73,12.54
346,32,Ja,3.38,39.43,5.63,1.13,1.58,2.14,0.52,0.25,2.93,1.45,2.99,1.99,6.57
347,32,Ru,5.45,19.06,6.81,6.81,6.81,4.63,0.78,0.31,1.76,1.15,1.63,2.27,10.1
348,32,Ch,10.23,40.94,5.73,1.29,2.86,2.44,1.06,0.57,1.19,0.61,1.54,1.66,11.09
349,32,Me,4.28,12.24,3.06,1.71,2.2,1.35,0.39,0.16,0.61,0.24,0.57,0.93,3.18
350,30,Eg,13.1,32.75,4.91,2.46,2.21,1.97,0.96,0.53,1.13,0.77,1.52,1.38,10.83
351,30,Un,18.61,63.28,8.93,5.21,5.96,3.72,1.75,1.52,1.72,2.23,2.58,2.89,10.88
352,29,Tu,6.03,36.19,4.33,1.88,2.83,3.11,1.21,0.64,2.01,3.2,4.05,2.41,13.19
353,25,Ar,24,72.5,9.75,6,8,4.25,2.06,1.7,1.01,3.19,3.54,3.13,8.46
354,30,In,1.84,13.88,5.31,1.71,1.76,1.82,0.54,0.73,0.95,0.54,1.87,2.08,9.41
355,31,Ir,2.53,45,7.68,1.83,2.74,2.03,0.71,0.67,1.03,1.24,0.91,1.86,2.89
356,29,Ch,3.63,24.44,5.73,0.84,2.03,3.49,0.42,0.24,2.33,1.63,0.84,1.84,11.17
357,28,In,3.06,8.02,3.06,1.84,3.37,1.56,0.35,0.18,0.66,0.4,0.62,1.03,2.97
358,29,Pa,1.62,16.16,2.63,0.7,1.9,0.81,0.57,0.32,1.31,1.36,0.77,1.66,11.09
359,31,Ch,2.94,15,5.41,1.19,1.8,2.05,0.59,0.37,1.32,1.82,1.74,1.35,4.34
360,29,Fr,3.14,18.86,4.89,0.77,1.4,3.49,0.4,0.28,1.4,1.4,0.7,1.03,11.17
361,27,Un,3.35,22.36,5.59,0.84,1.86,0.84,0.84,0.56,1.15,1.02,0.95,1.34,6.89
362,30,In,16.44,66.54,4.31,1.17,1.64,2,1.04,0.89,1.51,1.18,1.21,1.9,17.53
363,28,Un,5,25,5,1,2,1.3,1,0.81,0.74,0.97,0.91,0.98,6.54
364,29,Vi,3,17,3,0.58,1,1.03,0.4,0.33,0.65,0.87,2.63,1.06,2.38
365,30,Ja,17,60,9,5,5.5,4.72,2.35,1.52,1.09,3.3,3.41,3.51,12.28
366,29,Ch,8.24,54.93,6.87,12.36,13.05,5.45,1.09,0.36,1.99,1.63,1.89,2.81,10.88
367,28,Br,7.98,31.93,7.45,1.33,1.6,3.73,0.72,0.27,1.65,0.71,3.79,3.54,5.85
368,30,Ch,5.78,43.31,4.69,3.25,3.61,3.19,1.17,0.77,1.36,1.43,4.78,1.69,10.78
369,25,Pe,1.35,11.26,4.96,0.68,1.13,3.73,0.39,0.23,1.65,1.13,4.78,3.38,10.78
370,31,An,2.45,15,5.51,1.35,1.6,1.1,0.32,0.2,0.55,0.51,0.54,0.9,3.06
371,32,Ch,8.19,32.75,6.55,1.97,1.97,2.54,1.1,0.76,1.05,0.64,1.74,1.68,11.17
372,31,In,9.83,49.13,6.55,2.62,3.68,2.48,1.61,0.88,1.26,0.7,1.51,1.57,10.71
373,34,Ch,6,82.74,3,1,1.5,1.5,1.92,0.8,1.03,0.45,2.08,0.98,2.4
374,30,Ja,7.16,33.93,4.9,3.02,4.52,3.28,1.71,0.8,1.8,2.64,2.26,3.92,15.83
375,32,Ni,7.92,54.63,7.92,2.38,3.17,3.28,1.09,0.8,1.85,0.41,0.82,2.03,11.56
376,32,Pa,5.59,33.54,6.34,1.3,1.86,1.6,1.09,0.67,0.92,1.39,0.99,1.95,7.52
377,31,Ba,1.59,12.71,2.86,1.91,2.51,1.05,0.36,0.18,1.12,0.89,0.75,1.47,6.98
378,31,Br,2.52,36.59,7.32,0.91,1.83,2.39,0.7,0.53,0.68,0.95,1.02,1.36,4.41
379,32,Ja,6.98,12.71,4.89,0.7,1.4,2.56,0.37,0.53,2.1,0.84,0.42,1.47,6.98
380,32,Ru,1.22,10.41,2.45,1.47,3.37,2.53,0.41,0.18,0.66,0.47,0.84,1.47,4.08
381,32,Ch,12.9,60.06,7.21,4.5,4.8,3.35,1.71,1.22,1.17,1.18,1.56,2.29,7.31
382,32,Me,10.38,41.51,6.75,2.08,2.59,2.77,1.05,0.76,1.22,2.02,1.64,2.12,7.43
383,30,Eg,4,24.51,6,1.1,2.42,1.51,0.74,0.72,0.98,1.55,1.33,1.81,3.44
384,30,Un,6.13,35.3,4.09,0.86,0.86,0.59,0.54,0.19,0.91,0.36,1.09,1.45,6.04
385,29,Tu,1.58,11.26,3.38,0.79,1.13,1.58,0.31,0.23,2.7,0.86,0.68,1.41,1.8
386,25,Ar,8.19,39.3,5.73,2.95,4.09,2.2,0.98,0.41,1.09,0.77,1.56,1.63,12.79
387,30,In,2.45,18.36,5.2,1.71,4.9,1.28,0.38,0.14,0.75,0.4,0.55,1.01,4.88
388,31,Ir,9.41,36.9,7.38,1.85,2.58,2.58,0.85,0.47,1.69,0.59,2.23,2.4,7.49
389,29,Ch,2.33,9.79,4.47,2.95,4.09,0.73,0.39,0.13,0.69,0.46,0.78,1.03,3.06
390,28,In,19.55,111.74,11.87,6.98,6.91,5.91,3.2,2.64,1.79,2.83,2.48,4.2,11.53
391,29,Pa,1.86,9.3,3.95,2,2.79,1.09,0.65,0.33,0.59,0.38,1.07,1.21,4.84
392,31,Ch,1.41,24.23,4.04,0.84,1.45,1.41,0.4,0.3,1.41,0.81,0.93,1.49,10.6
393,29,Fr,5.51,6.12,3.67,1.53,4.28,0.76,0.33,0.16,0.67,0.57,0.73,1.05,4.57
394,27,Un,17,67.5,8.5,5.75,7,4.7,2.22,1.9,0.95,3.3,3.11,3.13,11.6
395,30,In,3.17,31.67,12.67,1.27,1.58,1.72,0.87,0.63,1.7,0.57,3.56,1.81,4.57
396,28,Un,12.98,57.13,9.34,3.64,3.01,2.81,2.29,1.81,1.08,1.91,2.15,2.67,4.57
397,29,Vi,1.71,4.11,3.94,0.41,0.34,0.43,0.32,0.16,1.08,1.91,2.15,0.82,10.81
398,30,Ja,8.19,36.85,4.93,1.19,2.13,2.54,1.03,0.42,1.28,0.79,1.8,1.72,10.81
399,29,Ch,7.5,37.52,6.95,1.5,2.25,2.84,0.94,0.47,1.37,0.65,2.38,2.29,7.18
400,28,Br,16.5,70,8.75,5,6.5,5.08,2.2,1.91,1.05,3.91,4.64,3.38,14.58
401,30,Ch,25,57.5,9.75,6.5,8,5.07,2.15,2.01,0.92,2.52,3.3,2.2,11.16
402,25,Pe,2.79,16.76,5.59,0.7,2.1,2.33,0.52,0.28,1.44,1.54,0.84,4.69,13.27
403,31,An,2.45,12.24,6.12,1.47,3.18,1.59,0.45,0.16,0.66,0.42,0.62,1.06,6.12
404,29,Ch,15.5,60,7.95,6,6,4.97,1.87,1.39,0.99,2.33,3.29,2.97,9.3
405,28,Ch,18.61,67.01,8.93,5.21,5.96,3.81,1.82,1.74,1.91,2.16,3.06,2.69,10.8
406,29,Ch,3.73,17.7,4.94,1.86,2.9,1.51,0.95,0.67,0.95,1.24,1.99,1.72,6.68
407,25,Ch,6.32,25.26,4.21,1.05,1.79,1.69,0.54,0.37,0.84,0.36,0.76,1.4,7.41
408,27,Ch,5.58,27.01,6.95,2.78,2.78,2.44,3.44,1.65,1.38,0.42,1.28,2.39,8.09
409,29,Un,11.12,39.52,4.68,1.17,1.46,2.05,0.97,0.79,1.17,0.82,0.97,1.9,6.29
410,26,Ch,5.33,23.69,3.85,1.42,1.78,1.81,0.55,0.29,0.7,0.37,1.2,1.53,6.59
411,24,Vi,2.78,15.45,4.63,1.54,2.16,0.78,0.52,0.24,0.43,0.16,0.78,1.07,8.63
412,28,Ch,1.84,7.35,3.37,1.53,2.14,0.92,0.31,0.12,0.7,0.64,0.55,0.91,5.23
413,27,Ch,6,26.4,5.97,1.61,3,2.73,0.81,0.73,1.13,1.57,1.47,2.4,4.9
414,30,In,6.14,28.88,4.76,3.61,3.61,2.79,0.89,0.74,1.3,2.29,2.89,1.73,16.12
415,25,Ma,2.29,22.95,7.65,2.37,3.06,1.44,0.44,0.18,0.76,0.5,0.79,1.56,7.89
416,26,Ch,9.83,40.94,6.55,2.05,2.54,2.2,0.98,0.46,1.09,0.67,1.72,1.69,11.4
417,27,Co,8.92,32.43,5.19,1.82,3.89,2.57,1,0.67,1.39,1.98,1.3,2.06,5.88
418,26,In,11.46,49.13,6.34,1.8,2.78,2.56,1.16,0.52,1.25,0.75,1.71,1.59,11.65
419,27,Ch,15,60,7.77,5,6,4.93,2.12,1.66,0.93,3.43,4.33,3.22,8.93
420,25,Ch,8.5,30,8,2,1.7,1.25,1,1,1.09,1.15,1.3,1.97,4.21
421,26,Ch,2.45,9.79,3.67,1.84,3.98,1.44,0.24,0.12,0.51,0.45,0.69,0.83,3.37
422,26,Ch,3.98,14.69,3.37,3.37,3.67,1.92,0.48,0.37,0.66,0.46,0.81,1.08,4.05
423,26,Ch,2.45,20.38,4.38,1.22,1.89,1.42,0.62,0.65,0.95,0.87,0.68,1.77,3.15
424,27,Ch,6.03,26.39,6.03,2.11,4.52,3.14,1.13,0.75,1.56,2.74,2.29,1.68,30.16
425,27,Ch,5,30,5.5,1.9,2.32,1.9,0.76,0.83,1,1.46,1.09,1.92,3.7
426,28,Ta,1.91,12.71,2.86,1.91,2.51,1.81,0.53,0.3,1.12,0.93,0.75,1.52,6.98
427,25,Ch,0.68,11.26,3.38,0.45,0.56,1.58,0.23,0.23,1.35,0.86,2.25,0.72,9.01
428,28,Ho,5.26,14.58,6.32,1.15,0.84,1.4,0.59,0.48,0.79,0.3,0.83,1.3,5.68
429,28,Ch,3.96,30.38,9.5,1.98,3.17,2.38,1.5,0.85,2.41,0.53,0.91,2.19,15.83
430,26,Ch,16.44,66.54,4.31,1.17,1.64,2,1.04,0.89,1.51,1.18,1.21,1.9,17.53
431,27,Sa,1.22,8.15,2.65,1.98,3.17,1.02,0.24,0.12,0.61,0.53,0.57,0.98,2.44
432,26,Ch,5.41,21.64,4.06,0.84,1.35,1.21,0.62,0.46,0.91,0.57,1.35,1.31,6.79
433,28,Ch,12.5,45,10,2.5,3.5,3.67,1.5,2.67,1.4,1.43,4.71,5.33,15.22
434,29,Ch,3.73,18.63,5.59,0.93,1.86,1.18,0.78,0.35,0.81,1.21,1.11,1.91,7.17
435,24,Ch,1.04,7.35,4.32,1.22,3.98,2.14,0.38,0.17,0.53,0.4,0.67,0.74,5.45
436,26,Ch,1.34,15.59,3.56,2.23,4.46,1.37,0.24,0.18,0.72,0.46,1.03,1.01,4.29
437,27,Un,1.47,8.26,4.28,1.87,3.06,1.53,0.29,0.15,0.63,0.45,0.67,0.91,5.51
438,26,Ch,15,57.5,8,4.5,7,5,1.86,1.63,0.66,2.78,4.53,2.54,9.68
439,29,Ch,20,75,8,4,6,4.63,2.31,1.35,1.2,4.15,4.21,3.27,14.01
440,25,Ch,12,85,15,4.5,6.5,2.77,2.04,2.25,1.5,1.67,2.68,2.8,2.97
441,26,Ch,4.67,24,5.19,7.52,2.33,3.11,0.93,0.64,1.23,1.89,1.45,3.08,6.23
442,25,Ir,7.37,29.48,5.27,2.46,1.97,2.46,0.92,0.36,1.3,0.72,1.75,1.62,12.45
443,23,Ch,18.61,61.42,8.93,5.21,5.96,3.67,2,1.5,1.82,2.17,3.05,2.87,11.22
444,27,Ch,1.34,17.82,2.67,1.34,1.11,1.41,0.23,0.18,0.56,0.35,0.76,1.23,2.28
445,25,Sp,2.69,15.37,4.36,1.92,2.82,2,0.53,0.36,1.14,1.49,0.94,1.69,5.42
446,24,Su,1.8,9.57,3.38,0.9,1.58,0.83,0.36,0.23,2.48,1.18,3.24,1.5,2.28
447,27,Ch,17.48,87.39,15.15,7.72,8.16,3.57,2.35,1.9,1.78,2.09,2.75,3.84,14.06
448,23,Ch,3,24.07,5,1.13,2.75,2.1,1.07,0.45,3.07,1.93,1.46,2.08,20.94
449,23,Eg,12.38,76.21,8.57,6.67,6.67,3.87,2.28,2.05,1.43,2.74,2.73,3.62,9.32
450,28,Un,1.11,6.12,2.08,1.84,3.49,1.09,0.37,0.12,0.67,0.42,0.73,0.9,4.79
451,26,Un,9.63,46,6.88,2.48,2.75,1.83,2.23,1.61,1.19,1.1,2.38,2.53,8.35
452,26,Ch,3.98,11.06,4.97,1.19,1.49,1.2,0.41,0.28,0.72,0.41,1.58,1.57,5.79
453,24,In,3.37,28.91,4.82,0.77,1.35,2.3,0.67,0.35,0.83,0.53,0.8,1.57,13.97
454,24,Ch,4.31,30,7.9,0.97,2.5,1.67,0.86,0.86,2.28,0.68,0.94,1.83,5.79
455,25,Ch,11.4,20,2.67,1,2,1.06,1.56,1.57,1.45,0.5,1.87,4.8,5.79
456,26,Ch,19.22,83.1,10.39,5.9,5.19,3.54,2.74,2.48,1.24,1.59,2.06,3.69,13.47
457,25,Ke,1.36,10.85,3.25,1.08,1.63,1.46,0.35,0.18,1.15,0.64,0.66,1.77,7.4
458,24,Ch,8,50,7,2.5,4,3.31,1.66,1.34,1.58,2.14,1.92,2.13,7.45
459,23,Ch,7.32,35.13,4.68,1.76,2.05,1.68,0.9,0.71,1.01,0.85,1.33,1.73,6.57
460,26,Me,14.89,55.84,8.26,4.47,5.21,3.4,1.79,1.56,1.34,1.92,2.84,2.77,9.06
461,26,Un,15.01,79.17,11.48,0.87,1.58,2.38,0.79,0.67,1.91,1.49,1.64,2.85,8.71
462,23,Un,20.11,108.58,12.06,9.9,9.55,4.55,3.1,2.83,2.06,3.41,3.16,4.05,12.02
463,24,Ca,1.98,19.89,7.92,0.79,2.38,3.69,2.38,1.27,1.8,0.71,1.74,1.65,7.07
464,23,Ch,13.5,83.1,9.35,7.27,8.31,4.24,2.69,1.78,1.02,2.35,2.24,2.45,7.5
465,25,Ch,6.24,25.99,4.81,1.3,1.82,1.42,0.71,0.5,0.91,0.41,1.25,1.88,7.89
466,24,Un,3.17,26.13,4.75,0.95,2.77,3.96,0.65,0.49,1.6,1.43,1.2,1.89,2.85
467,26,Si,10.39,51.93,7.27,4.15,3.12,2.88,1.28,1.24,1.37,1.15,2.22,2.45,10.04
468,24,My,9.87,51.93,6.23,4.15,4.15,2.92,1.87,1.6,1.4,1.35,2.09,2.29,9.69
469,22,Ch,14.89,59.56,9.31,5.21,5.21,3.45,1.55,1.09,1.55,2.44,3.29,2.66,11.96
470,22,Ch,3.26,25.59,5.12,3.02,3.72,1.73,0.52,0.33,0.71,0.41,1.29,1.27,7.78
471,25,Ch,1.94,21.04,3.27,0.58,2.46,2.18,0.44,0.68,0.8,0.68,1.28,2.67,8.06
472,24,Br,12.46,51.93,7.27,4.15,5.19,3.4,1.89,0.52,1.58,1.14,2.28,3.82,10.6
473,22,Ch,8.31,46.74,7.27,2.08,2.6,2.47,1.98,1.6,0.93,1.31,1.51,2.63,11.7
474,23,Ch,14.89,72.96,8.93,4.47,4.84,2.48,1.22,1.33,1.82,2.34,2.69,2.78,11.56
475,23,In,18.7,83.1,9.87,6.23,6.23,3.71,2.31,1.78,1.25,1.83,1.46,3.23,8.75
476,23,Eg,12.46,51.93,7.27,2.6,3.12,1.94,1.7,1.17,0.86,1.31,1.26,2.57,8.85
477,21,Au,10,60,6.1,3,4.82,3.51,2.99,1.07,6.81,1.34,2.57,1.87,15.59
478,22,Sp,4.15,23.5,4.84,1.38,2.07,1.9,0.88,0.47,0.82,0.74,0.98,1.5,6.05
479,22,Un,12.46,62.32,7.27,4.88,4.67,3.38,2.07,1.72,0.99,1.12,2.01,2.27,9.43
480,24,Ch,9.17,66.68,8.89,5.56,6.95,1.88,0.67,0.94,3.06,2.22,1.85,3.45,19.82
481,23,Ch,12.43,62.13,8.7,6.21,6.21,3.24,2.36,2.17,1.9,1.91,2.06,4.05,9.43
482,24,Ch,15.42,73.77,8.82,6.37,6.71,3.24,2.24,1.73,1.38,2.01,1.82,3.61,8.54
483,23,Ch,6.48,45.39,6.48,1.95,3.24,3.3,0.93,0.68,3.47,2.74,0.98,2.75,12.89
484,22,Ch,8.78,35.13,4.1,2.34,2.63,1.84,0.91,0.69,0.94,0.98,1.45,1.87,7.09
485,24,Au,5.73,35.24,5.73,1.76,2.64,1.38,1.41,0.71,1.38,0.75,1.45,2.64,7.4
486,23,Ch,7.5,30,6,3,3.5,1.5,1,1,1.38,2,2.25,3.63,8.54
487,24,Ch,2.58,15.02,2.23,1,2,2.38,1.13,1.28,1.58,0.24,0.79,2.14,8.54
488,22,So,13.5,51.93,6.34,4.15,4.15,3.31,1.41,0.73,1.47,1.92,2.47,3.02,10.22
489,25,Ch,8.76,36.49,5.11,1.46,1.46,1.75,0.72,0.74,1.13,0.7,1.4,1.85,6.05
490,23,Ch,14.89,67.01,8.93,5.21,5.21,3.54,1.79,1.71,1.83,2.32,4.32,3.4,9.43
491,21,Ch,18.61,70.73,8.93,5.96,5.96,3.67,1.99,1.78,2.5,2.75,3.26,3.65,12.25
492,21,Mo,10.39,41.55,6.44,3.12,3.12,1.9,2.3,1.79,1.12,1.59,1.87,2.68,11.23
493,24,Af,6.43,42.88,10.72,0.86,3.43,2.14,0.68,0.57,1.82,1.29,0.93,2.4,32.16
494,22,Un,10.39,23.32,11.66,0.87,1.17,1.46,0.7,0.29,1.04,0.78,1.46,1.3,4.23
495,24,Ch,4.98,32.2,3.66,1.76,1.76,2.07,1.11,0.81,1.11,0.93,1.93,2.32,7.36
496,23,Ch,9.76,47.89,8.52,2.84,5.11,3.18,1.01,1.18,1.68,1.52,1.52,3.88,5.68
497,25,Jo,2.89,10.12,7.95,1.45,2.31,2.17,0.72,0.58,1.08,1.08,0.87,0.87,3.61
498,26,Ch,5.3,26.49,5.03,2.12,1.99,1.49,1.56,0.87,0.92,0.7,1.46,1.99,6.89
499,24,In,11.53,34.59,5.96,1.54,1.92,2.54,0.85,0.57,1.14,0.74,1.52,2.1,5.74
500,24,Ch,4.86,80,6.15,2.7,2.7,2.25,0.92,0.74,1.18,1.19,1.37,2.11,11.17
